jurusanlama,nilai1,nilai2,tbsm,tkj,ipa,titl,ips,akt,rpl,tkro,mm,pem,dpib,meka,jurusan
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6200000000000001,0.3928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.74,0.35714285714285676,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8400000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
5,0.6000000000000001,0.2857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.6799999999999999,0.6785714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.19999999999999996,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.5682,0.46964285714285703,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.56,0.5357142857142856,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0.78,0.5714285714285712,0,0,0,0,0,0,1,0,0,0,0,0,2
5,0.6000000000000001,0.35714285714285676,0,0,0,1,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.9000000000000001,0.6428571428571428,0,0,0,0,0,1,0,0,0,0,0,0,3
2,0.732,0.5285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1
11,0.5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2
3,0.78,0.6785714285714284,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.0,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.7,0.3214285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.7,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0.732,0.5285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0.9199999999999999,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
9,0.8,0.7857142857142856,0,0,0,0,0,0,0,0,1,0,0,0,2
7,0.7,0.8928571428571428,0,0,0,0,0,0,1,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8600000000000001,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.9000000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0.56,0.5357142857142856,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.0,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6448,0.5785714285714283,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.6799999999999999,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.6000000000000001,0.35714285714285676,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0.76,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
9,0.76,0.714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.03571428571428559,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.6000000000000001,0.35714285714285676,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.74,0.8214285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7286000000000001,0.40357142857142847,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
7,0.5,0.5357142857142856,0,0,0,0,0,0,1,0,0,0,0,0,2
5,0.6000000000000001,0.2857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0.56,0.7857142857142856,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6400000000000001,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
7,0.8,0.964285714285714,0,0,0,0,0,0,1,0,0,0,0,0,2
3,0.7,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
1,0.9199999999999999,0.17857142857142838,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.40000000000000013,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,2
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.6600000000000001,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0.6000000000000001,0.35714285714285676,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0.6000000000000001,0.9285714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8800000000000001,0.9285714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
7,0.8,0.9821428571428568,0,0,0,0,0,0,1,0,0,0,0,0,2
5,0.6000000000000001,0.2857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0.9199999999999999,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,2
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.76,1.0,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8800000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.732,0.5285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.2857142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6799999999999999,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,3
1,0.76,0.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0.8400000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.8,0.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6600000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
12,0.6000000000000001,0.35714285714285676,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0.8600000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
2,0.56,0.5357142857142856,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.19999999999999996,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.72,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8200000000000001,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0.56,0.7857142857142856,0,0,0,0,0,0,0,1,0,0,0,0,1
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
4,0.6000000000000001,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1
5,0.6000000000000001,0.35714285714285676,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.74,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.76,0.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.76,0.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.96,1.0,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.6000000000000001,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.72,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.8500000000000001,0.9821428571428568,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.78,0.6428571428571428,0,1,0,0,0,0,0,0,0,0,0,0,2
7,0.5,0.35714285714285676,0,0,0,0,0,0,1,0,0,0,0,0,2
3,0.76,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.6799999999999999,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0.732,0.5285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.7,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
6,0.9000000000000001,0.6428571428571428,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.30000000000000004,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.74,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.8600000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6000000000000001,0.4375,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8800000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9199999999999999,0.9285714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.9000000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6000000000000001,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
7,0.6759999999999999,0.375,0,0,0,0,0,0,1,0,0,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.8,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
9,0.7,0.714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
5,0.6000000000000001,0.35714285714285676,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8400000000000001,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.72,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8400000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
9,0.5,0.6785714285714284,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.5,0.17857142857142838,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8400000000000001,0.8214285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
10,0.6400000000000001,0.46428571428571397,0,0,0,0,0,0,0,0,0,1,0,0,1
3,0.8,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
6,0.9000000000000001,0.6428571428571428,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8800000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6799999999999999,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,3
3,1.0,0.964285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.56,0.5,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.6000000000000001,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.76,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
12,0.6000000000000001,0.35714285714285676,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0.8,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8600000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.74,0.7857142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
5,0.6000000000000001,0.2857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0.6000000000000001,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
9,0.7,0.714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
9,0.7,0.8928571428571428,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.8,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8800000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.0,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
6,0.74,0.35714285714285676,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.74,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8800000000000001,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.74,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.74,0.6785714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.7,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
9,0.56,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,0.56,0.5,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.74,0.35714285714285676,0,0,0,0,0,1,0,0,0,0,0,0,3
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.72,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.6000000000000001,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
9,0.74,0.714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,2
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
6,0.9000000000000001,0.6428571428571428,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8600000000000001,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.7,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.8,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
6,0.5800000000000001,0.4285714285714284,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.72,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6400000000000001,0.25,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.6000000000000001,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0.76,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
10,0.6400000000000001,0.46428571428571397,0,0,0,0,0,0,0,0,0,1,0,0,1
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.76,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7812000000000001,0.6607142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6422000000000001,0.5039285714285713,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.76,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.8400000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.8214285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
8,0.56,0.7857142857142856,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.78,0.6785714285714284,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.8600000000000001,0.6785714285714284,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.74,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.6400000000000001,0.17857142857142838,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.52,0.17857142857142838,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.78,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.76,0.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.6000000000000001,0.714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,2
9,0.7,0.714285714285714,0,0,0,0,0,0,0,0,1,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6600000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.9000000000000001,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.7,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.6000000000000001,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.6000000000000001,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0.56,0.5714285714285712,0,1,0,0,0,0,0,0,0,0,0,0,2
3,0.72,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.74,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.7,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.8,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0.74,0.6428571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.46428571428571397,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
1,0.9199999999999999,0.17857142857142838,1,0,0,0,0,0,0,0,0,0,0,0,1
4,0.72,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3
1,0.76,0.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
